400,8,0six,1five,2four,3three,4four,5one
0.223293529,0.007078938,0.000547997,0.000130906,-8.38E-09,1.09E-05,3.40E-08,1
0.222721374,0.007030112,0.000538635,0.000126817,-7.81E-09,1.05E-05,3.22E-08,1
0.222683315,0.007009506,0.00052529,0.000128707,-8.16E-09,1.07E-05,3.25E-08,1
0.221928147,0.006830717,0.000515228,0.000127987,-9.02E-09,1.05E-05,3.16E-08,1
0.222349888,0.006815682,0.000514078,0.000140093,-9.71E-09,1.15E-05,3.63E-08,1
0.221596583,0.006950202,0.000482082,0.000131499,-9.87E-09,1.09E-05,3.16E-08,1
0.220833474,0.006960757,0.000465345,0.000125316,-1.00E-08,1.04E-05,2.86E-08,1
0.220205103,0.006869197,0.000419689,0.000131897,-1.06E-08,1.09E-05,2.92E-08,1
0.219259118,0.006742615,0.000366828,0.000136878,-1.17E-08,1.12E-05,2.83E-08,1
0.217684485,0.006431574,0.00031897,0.000139289,-1.27E-08,1.11E-05,2.65E-08,1
0.216865659,0.006249253,0.000294405,0.000143712,-1.23E-08,1.13E-05,2.69E-08,1
0.214857542,0.005972092,0.000280211,0.000135573,-1.22E-08,1.03E-05,2.34E-08,1
0.214849186,0.005981391,0.000278823,0.000141734,-1.30E-08,1.07E-05,0.000000025,1
0.214971392,0.005939581,0.000280825,0.000143932,-1.36E-08,1.08E-05,2.56E-08,1
0.214903287,0.005906653,0.000270444,0.000146868,-1.39E-08,1.09E-05,2.58E-08,1
0.214975728,0.005939481,0.000268245,0.000146139,-1.37E-08,1.09E-05,2.55E-08,1
0.215148917,0.005854374,0.000241892,0.000156643,-1.52E-08,1.15E-05,2.65E-08,1
0.214520623,0.005653764,0.000265897,0.000149284,-1.50E-08,1.07E-05,2.57E-08,1
0.214454376,0.005564651,0.000290343,0.00014632,-1.56E-08,1.03E-05,2.58E-08,1
0.214306303,0.005413998,0.000282896,0.000150321,-1.65E-08,1.02E-05,2.63E-08,1
0.214395794,0.00525557,0.000269301,0.000155814,-1.83E-08,1.02E-05,2.62E-08,1
0.214810475,0.005180745,0.000260769,0.000166533,-2.02E-08,1.08E-05,2.82E-08,1
0.214458812,0.005161719,0.000255463,0.000168549,-2.04E-08,1.07E-05,2.84E-08,1
0.214142527,0.005002505,0.000249908,0.000172189,-2.08E-08,1.05E-05,2.90E-08,1
0.213860772,0.004837318,0.00024431,0.00017673,-2.13E-08,1.03E-05,2.99E-08,1
0.213759595,0.004739403,0.000237907,0.000179911,-2.13E-08,1.02E-05,3.05E-08,1
0.213378055,0.004515466,0.000223488,0.000188063,-2.14E-08,9.97E-06,3.20E-08,1
0.21278652,0.004328955,0.000197764,0.000188506,-2.11E-08,9.28E-06,2.97E-08,1
0.212761167,0.004197777,0.000186761,0.000195681,-2.09E-08,9.21E-06,3.10E-08,1
0.212790958,0.004138271,0.000185818,0.000198927,-2.10E-08,9.14E-06,3.20E-08,1
0.212322145,0.003967651,0.000176097,0.000199126,-2.06E-08,8.45E-06,3.11E-08,1
0.212225175,0.003877653,0.000172427,0.000200414,-2.09E-08,8.11E-06,3.09E-08,1
0.212342502,0.003860644,0.000168218,0.000204305,-2.08E-08,8.03E-06,3.17E-08,1
0.212342718,0.003751055,0.000160392,0.000208144,-2.04E-08,7.73E-06,3.21E-08,1
0.211892984,0.003577797,0.000145901,0.000209926,-1.87E-08,7.10E-06,3.16E-08,1
0.211210779,0.003367678,0.000126503,0.000204796,-1.68E-08,6.19E-06,2.84E-08,1
0.211132188,0.003260614,0.000107895,0.000207605,-1.38E-08,6.03E-06,2.78E-08,1
0.211438017,0.003140465,0.000103677,0.000215323,-1.10E-08,5.95E-06,3.02E-08,1
0.211243097,0.003175545,0.000100475,0.000210828,-1.17E-08,6.18E-06,2.84E-08,1
0.211277529,0.003314293,9.96E-05,0.000206557,-1.26E-08,6.97E-06,2.68E-08,1
0.210945439,0.00344548,9.61E-05,0.000198729,-1.26E-08,7.46E-06,2.44E-08,1
0.210809531,0.003638403,0.000101102,0.000191462,-1.29E-08,8.16E-06,2.33E-08,1
0.211182723,0.003874486,0.00011547,0.000189186,-1.44E-08,9.11E-06,2.40E-08,1
0.211263068,0.004074706,0.000117383,0.000181316,-1.44E-08,9.51E-06,2.22E-08,1
0.210377151,0.003960334,9.33E-05,0.000178298,-1.26E-08,9.11E-06,1.93E-08,1
0.209795898,0.003843151,7.83E-05,0.000168475,-1.16E-08,8.77E-06,1.55E-08,1
0.210521773,0.003914085,7.76E-05,0.000178333,-1.19E-08,9.70E-06,1.73E-08,1
0.211236007,0.004098462,8.16E-05,0.000186691,-1.15E-08,1.07E-05,2.00E-08,1
0.210911722,0.00401469,7.42E-05,0.000185848,-1.17E-08,1.05E-05,1.84E-08,1
0.211325561,0.003958306,7.11E-05,0.000192588,-1.19E-08,1.09E-05,1.91E-08,1
0.211459528,0.003941191,6.85E-05,0.000186356,-1.24E-08,1.07E-05,1.70E-08,1
0.211911457,0.003860589,6.78E-05,0.000193087,-1.35E-08,1.11E-05,1.75E-08,1
0.212546941,0.003891127,6.47E-05,0.000200853,-1.46E-08,1.17E-05,1.76E-08,1
0.212461873,0.003953265,6.79E-05,0.000198957,-1.46E-08,1.17E-05,1.79E-08,1
0.211721396,0.003967562,7.32E-05,0.000186579,-1.45E-08,1.09E-05,1.63E-08,1
0.212432444,0.003948676,7.92E-05,0.000197421,-1.67E-08,1.17E-05,1.82E-08,1
0.212604086,0.004027251,7.88E-05,0.000199392,-1.65E-08,1.19E-05,1.87E-08,1
0.212902214,0.003871413,7.40E-05,0.000203428,-1.74E-08,1.20E-05,1.79E-08,1
0.213399732,0.003718941,6.76E-05,0.000210269,-1.86E-08,1.22E-05,1.68E-08,1
0.213771197,0.003645407,6.43E-05,0.000215825,-1.92E-08,1.24E-05,1.67E-08,1
0.213850557,0.003668327,6.21E-05,0.000216202,-1.89E-08,1.25E-05,1.65E-08,1
0.213712784,0.003671992,6.31E-05,0.000213736,-1.86E-08,1.23E-05,1.65E-08,1
0.21370061,0.003694054,6.18E-05,0.000215117,-1.80E-08,1.24E-05,1.71E-08,1
0.212708204,0.003868232,6.15E-05,0.000206116,-1.47E-08,1.19E-05,1.79E-08,1
0.212549821,0.003907934,6.39E-05,0.000203504,-1.46E-08,1.18E-05,1.80E-08,1
0.212483571,0.003942258,6.44E-05,0.000201826,-1.42E-08,1.18E-05,1.81E-08,1
0.212171397,0.004009391,6.69E-05,0.000198153,-1.30E-08,1.16E-05,1.87E-08,1
0.211350753,0.004203062,7.39E-05,0.000189443,-1.18E-08,1.11E-05,1.91E-08,1
0.210802303,0.004263236,7.68E-05,0.000184805,-1.09E-08,1.08E-05,1.91E-08,1
0.210540304,0.004427751,8.72E-05,0.000181024,-1.07E-08,1.06E-05,2.01E-08,1
0.209897208,0.004666293,0.000105108,0.000171525,-1.08E-08,1.01E-05,2.03E-08,1
0.209390118,0.0048119,0.000115688,0.000168096,-1.02E-08,9.96E-06,2.11E-08,1
0.209120665,0.004843797,0.000120742,0.00016621,-1.01E-08,9.80E-06,2.13E-08,1
0.208819537,0.004888117,0.000124854,0.000163042,-1.01E-08,9.60E-06,2.10E-08,1
0.208319679,0.004995319,0.000131431,0.00015925,-1.02E-08,9.27E-06,2.06E-08,1
0.207930473,0.005036327,0.00014014,0.000155482,-1.04E-08,9.01E-06,2.05E-08,1
0.207445399,0.005113892,0.000146225,0.00015346,-1.04E-08,8.82E-06,2.05E-08,1
0.206566489,0.005275623,0.000159873,0.000144696,-1.04E-08,8.15E-06,1.94E-08,1
0.206339854,0.005236726,0.000159123,0.000144728,-1.02E-08,8.11E-06,1.94E-08,1
0.206259069,0.005225005,0.000158204,0.000145008,-1.02E-08,8.05E-06,1.94E-08,1
0.206506252,0.005198232,0.000153075,0.000146389,-1.02E-08,8.16E-06,1.94E-08,1
0.206721036,0.00509862,0.000140725,0.000148122,-1.01E-08,8.21E-06,1.89E-08,1
0.207304336,0.004992093,0.000132656,0.000152473,-9.72E-09,8.57E-06,1.94E-08,1
0.207955112,0.004805997,0.000113722,0.000158402,-9.16E-09,9.01E-06,1.92E-08,1
0.209037734,0.00457519,9.44E-05,0.000165845,-9.43E-09,9.52E-06,1.85E-08,1
0.210412143,0.004350299,8.00E-05,0.000181103,-1.04E-08,1.05E-05,1.91E-08,1
0.210509588,0.004250012,7.70E-05,0.000182193,-1.10E-08,1.05E-05,1.86E-08,1
0.211346141,0.004010421,6.21E-05,0.00019008,-1.22E-08,1.09E-05,1.66E-08,1
0.211979847,0.003846015,5.68E-05,0.000198656,-1.41E-08,1.14E-05,1.57E-08,1
0.212255432,0.003856686,5.83E-05,0.000200521,-1.45E-08,1.16E-05,1.61E-08,1
