600,6,five,ok,two,good,middle_finger,six
0.202608213,0.000932818,0.004525317,9.82E-05,2.93E-08,2.90E-06,5.85E-08,5
0.206971433,0.001841329,0.004876226,4.91E-05,2.10E-08,9.85E-07,1.16E-08,5
0.219710448,0.004597269,0.00587206,3.42E-05,-1.30E-08,-2.16E-06,-8.01E-09,5
0.231413962,0.007406659,0.006658126,9.09E-05,-5.48E-08,-2.24E-06,4.48E-08,5
0.207037234,0.000736629,0.005047925,0.000119208,3.24E-08,3.19E-06,8.66E-08,5
0.204028949,0.001502223,0.004329159,0.000240176,-2.61E-08,2.65E-06,2.44E-07,5
0.203768119,0.002497983,0.00394074,0.00029845,-4.74E-08,-7.82E-07,3.20E-07,5
0.203809849,0.001804387,0.004181106,0.000282756,-7.54E-08,-1.26E-06,2.98E-07,5
0.202665235,0.000739721,0.004481715,0.000155285,3.17E-09,3.69E-06,1.30E-07,5
0.205746356,0.000733042,0.004864809,0.000176757,-2.15E-09,3.80E-06,1.64E-07,5
0.20363229,0.001383027,0.004270813,0.000243504,-4.49E-08,2.03E-06,2.44E-07,5
0.208929494,0.007075519,0.000449765,1.31E-05,8.38E-10,6.15E-07,5.56E-10,0
0.209318661,0.006787888,0.000500921,1.66E-05,1.29E-09,7.95E-07,8.08E-10,0
0.209807194,0.009720986,0.000326129,5.89E-06,2.58E-10,6.01E-08,-1.50E-11,0
0.219219869,0.008098688,0.001269347,4.11E-05,-6.17E-09,-2.33E-06,7.08E-09,0
0.211401419,0.00923596,0.000442277,8.11E-06,4.54E-10,-2.73E-08,-1.71E-10,0
0.226259153,0.009422478,0.001722514,5.87E-05,-1.48E-08,-3.78E-06,1.14E-08,0
0.21010845,0.007209279,0.000563038,1.30E-05,1.01E-09,-2.20E-08,-4.79E-10,0
0.224447428,0.011100669,0.001289129,1.97E-05,-3.48E-10,-9.55E-08,3.11E-09,0
0.214304143,0.008263595,0.000621673,2.29E-05,2.71E-09,5.45E-07,-3.49E-10,0
0.220224491,0.009680507,0.001306447,3.55E-05,-5.19E-09,-2.13E-06,5.60E-09,0
0.224235987,0.00975088,0.001411266,3.55E-05,-7.68E-09,-3.00E-06,1.98E-09,0
0.219449024,0.009865774,0.000988637,1.88E-05,-2.06E-09,-1.85E-06,-1.52E-09,0
0.208480444,0.004231907,0.000467517,2.71E-05,1.33E-09,1.64E-06,2.75E-09,0
0.221016039,0.011026431,0.001029652,2.18E-05,-3.26E-09,-2.10E-06,2.50E-10,0
0.219290838,0.010397994,0.00094754,1.83E-05,-2.13E-09,-1.86E-06,-1.12E-09,0
0.215906311,0.00739281,0.00082099,1.66E-05,1.13E-09,-5.13E-07,-1.58E-09,0
0.217618543,0.011003244,0.000701381,1.23E-05,-2.86E-10,-1.09E-06,-1.11E-09,0
0.220668851,0.010312517,0.00096347,1.82E-05,-1.88E-09,-1.83E-06,-1.50E-09,0
0.214092282,0.007841261,0.000650271,1.49E-05,1.42E-09,1.23E-07,-3.67E-10,0
0.218996905,0.007963554,0.001008214,2.10E-05,-7.31E-10,-1.57E-06,-2.97E-09,0
0.246488729,0.025377925,1.91E-05,0.000365303,8.84E-09,5.78E-05,2.92E-08,2
0.269315377,0.042745098,3.60E-05,7.93E-05,3.82E-09,1.60E-05,1.83E-09,2
0.260070018,0.036007941,0.000224851,0.000198052,4.08E-08,3.19E-05,9.09E-09,2
0.250885756,0.030247138,2.62E-05,0.000208407,1.35E-08,3.58E-05,-7.47E-09,2
0.255304809,0.031218486,1.98E-05,0.000307167,1.90E-08,5.40E-05,1.46E-08,2
0.257790508,0.034471179,2.74E-05,0.000102993,1.47E-10,1.84E-05,-5.47E-09,2
0.261381512,0.036743895,4.25E-05,6.63E-05,-4.78E-10,1.20E-05,-3.49E-09,2
0.262628219,0.0349472,5.93E-06,0.000222796,-4.83E-09,4.16E-05,6.50E-09,2
0.24169743,0.024149629,3.69E-06,0.000258388,7.56E-09,4.02E-05,2.55E-09,2
0.259978282,0.034119844,9.43E-06,0.000166775,-6.22E-09,3.07E-05,-2.25E-09,2
0.230231216,0.018197577,2.28E-05,0.000318765,2.70E-08,4.29E-05,-3.25E-09,2
0.237190521,0.020016407,6.96E-05,0.000469272,5.17E-08,6.48E-05,6.72E-08,2
0.241462527,0.023752782,3.24E-06,0.000272429,5.53E-09,4.20E-05,5.92E-09,2
0.25484132,0.031400235,8.38E-06,0.000163582,-6.03E-09,2.90E-05,-5.40E-10,2
0.234390859,0.018502576,0.000070366,0.00045283,4.15E-08,6.01E-05,6.94E-08,2
0.220364676,0.01211262,0.000113368,0.000448606,8.55E-08,4.84E-05,5.40E-08,2
0.255588686,0.030386054,3.77E-05,0.000277762,-3.49E-09,4.76E-05,2.82E-08,2
0.256639047,0.029558549,0.000232777,0.000553964,1.72E-07,8.74E-05,9.92E-08,2
0.233104439,0.013285186,0.000115634,0.000649155,1.70E-07,7.26E-05,5.32E-08,2
0.23389487,0.016904937,3.59E-05,0.000512244,1.86E-08,6.59E-05,6.69E-08,2
0.248368854,0.025434016,0.004830465,0.000771159,1.39E-06,0.000114953,5.40E-07,3
0.206997909,0.010389656,0.002211262,8.99E-05,-2.35E-08,-3.33E-06,3.25E-08,3
0.272297233,0.039266705,0.004263925,0.000958941,1.93E-06,0.000187867,2.17E-07,3
0.244603355,0.026355,0.00315701,0.000676362,9.74E-07,0.000102873,1.68E-07,3
0.207847181,0.011526919,0.001827276,8.96E-05,-1.50E-08,-8.02E-06,-3.30E-08,3
0.219000239,0.014360846,0.002664321,0.000153226,5.36E-09,3.46E-06,9.78E-08,3
0.264922362,0.036385394,0.002881903,0.000547654,6.84E-07,0.000102665,7.74E-08,3
0.240597745,0.023013842,0.003488199,0.000524953,7.09E-07,7.94E-05,4.95E-08,3
0.194893141,0.005754432,0.001699525,5.57E-05,-5.86E-09,-3.88E-06,-1.61E-08,3
0.203420657,0.008937128,0.001767989,5.09E-05,-9.51E-09,-1.19E-06,1.19E-08,3
0.242325664,0.024987536,0.002578408,0.000382436,3.80E-07,6.03E-05,8.29E-09,3
0.236436008,0.02236379,0.002543,0.0004125,4.22E-07,6.08E-05,2.87E-08,3
0.201911278,0.008672845,0.001588315,4.85E-05,-1.34E-08,-4.08E-06,-1.45E-09,3
0.232646839,0.020850756,0.00247724,0.000267986,2.11E-07,3.70E-05,5.74E-08,3
0.249304299,0.028573667,0.002477575,0.000423065,4.32E-07,7.15E-05,-2.45E-08,3
0.238662938,0.024393757,0.001670744,0.000258104,1.69E-07,4.00E-05,-1.21E-09,3
0.223871779,0.015907057,0.003024907,0.000301289,2.68E-07,3.55E-05,1.05E-07,3
0.221749322,0.016081063,0.002479465,0.000143132,5.47E-09,2.37E-06,8.51E-08,3
0.234342616,0.023449676,0.000955138,9.25E-05,2.01E-08,6.86E-06,1.87E-08,3
0.238533888,0.023363507,0.002603266,0.000303153,2.46E-07,4.03E-05,1.10E-07,3
0.211606006,0.009246481,0.001528176,7.73E-05,7.83E-09,2.62E-06,2.54E-08,1
0.203091293,0.006154494,0.000893024,3.62E-05,-4.49E-09,-2.84E-06,-4.71E-09,1
0.250723973,0.023597888,0.004420812,0.000829888,1.47E-06,0.000110004,5.98E-07,1
0.203145214,0.005960683,0.000840959,4.16E-05,-3.01E-09,-3.08E-06,-7.18E-09,1
0.21583571,0.011138001,0.001554561,0.000129243,1.84E-08,5.50E-06,5.49E-08,1
0.210836194,0.008950424,0.000997323,5.34E-05,-1.08E-08,-4.94E-06,-5.82E-09,1
0.201410227,0.005469376,0.000939812,4.07E-05,-7.63E-09,-2.80E-06,-2.27E-09,1
0.204707505,0.006212164,0.000770937,3.65E-05,-4.21E-09,-2.87E-06,-4.46E-09,1
0.214946255,0.009279649,0.001153439,5.37E-05,-1.34E-08,-4.18E-06,8.30E-11,1
0.214730852,0.009775506,0.000963899,5.34E-05,-8.19E-09,-5.28E-06,-8.91E-09,1
0.207645873,0.007907649,0.000617673,5.05E-05,3.03E-09,-3.28E-06,-8.39E-09,1
0.214738497,0.00921501,0.001283697,6.45E-05,-1.67E-08,-3.68E-06,8.13E-09,1
0.254118225,0.023793706,0.004242515,0.000660164,8.22E-07,7.07E-05,7.39E-07,1
0.215863825,0.009631955,0.001292241,6.77E-05,-2.00E-08,-5.67E-06,-4.00E-11,1
0.209674281,0.008211951,0.000798266,5.27E-05,-1.66E-09,-4.29E-06,-1.07E-08,1
0.219252712,0.010281175,0.001726132,0.0001143,-1.11E-08,-1.15E-07,4.96E-08,1
0.25920676,0.025848976,0.004659808,0.000764479,1.18E-06,9.50E-05,8.31E-07,1
0.214361031,0.009206002,0.001139363,6.55E-05,-1.67E-08,-6.03E-06,-6.38E-09,1
0.205720823,0.006743969,0.000700957,5.12E-05,8.25E-10,-3.43E-06,-9.67E-09,1
0.220767317,0.010535488,0.001867597,0.000135749,-2.00E-08,-1.29E-06,6.53E-08,1
0.241347248,0.00807765,0.010214016,0.00053089,3.67E-07,2.53E-05,1.18E-06,5
0.206768796,0.001100644,0.005609609,6.83E-05,2.98E-08,-7.38E-07,-3.00E-08,5
0.207314486,0.002374886,0.005311964,9.65E-05,-1.16E-08,-3.93E-06,-6.81E-08,5
0.267055851,0.019549033,0.012590872,0.001750859,6.74E-06,0.000220092,4.70E-06,5
0.217780017,0.0041133,0.005375814,5.79E-05,7.35E-09,3.08E-06,3.14E-08,5
0.204609073,0.000690754,0.005216506,5.23E-05,2.66E-08,1.87E-08,-6.15E-09,5
0.231962293,0.004844192,0.009541843,0.000486618,1.63E-07,1.23E-05,1.04E-06,5
0.241650765,0.009592306,0.009384093,0.000589822,9.77E-07,5.15E-05,9.86E-07,5
0.270837503,0.020192026,0.013870666,0.001830762,7.04E-06,0.000216275,5.97E-06,5
0.232367231,0.00620662,0.009031629,0.00045726,2.52E-08,9.86E-06,9.29E-07,5
0.209349771,0.001610668,0.005722825,8.17E-05,-2.46E-08,-3.19E-06,-5.01E-08,5
0.222860027,0.004702207,0.006322331,0.000121635,-1.63E-08,4.14E-06,1.05E-07,5
0.281495885,0.028131592,0.012094672,0.001583001,5.67E-06,0.000236369,3.98E-06,
0.239375217,0.008935528,0.009499198,0.000579374,3.06E-07,2.48E-05,1.32E-06,5
0.206693905,0.001603831,0.005544792,0.000114602,2.60E-08,-2.15E-06,-8.76E-08,5
0.202197833,0.000122223,0.004972338,4.30E-05,1.94E-08,1.68E-07,4.34E-09,5
0.250543559,0.013154999,0.00962807,0.000641094,6.58E-07,4.80E-05,1.45E-06,5
0.263637951,0.01861631,0.011258761,0.001104325,2.41E-06,0.000111013,3.06E-06,5
0.246774977,0.011925826,0.010002882,0.000718718,6.73E-07,4.22E-05,1.81E-06,5
0.231859368,0.007343407,0.00779107,0.000290934,-5.34E-08,7.07E-06,4.35E-07,5
0.201347535,0.008482619,0.001927981,0.000402769,3.23E-07,2.34E-05,1.48E-07,4
0.237417857,0.027365831,0.000151275,0.000119709,1.61E-08,1.86E-05,-1.04E-09,4
0.221137205,0.018891556,0.000730976,0.000233438,9.35E-08,2.06E-05,2.37E-08,4
0.225385669,0.020840357,0.000520563,0.000193293,6.07E-08,2.12E-05,9.00E-09,4
0.213645656,0.016488227,0.000426271,0.000178037,4.86E-08,2.10E-05,6.71E-09,4
0.221187002,0.019012798,0.000623868,0.000176563,5.62E-08,1.42E-05,1.68E-08,4
0.216206089,0.001519194,0.004494733,0.00073816,-1.28E-06,-2.49E-05,4.02E-07,4
0.213876191,0.015730497,0.000700315,0.000213648,7.98E-08,1.76E-05,2.13E-08,4
0.247762195,0.031734654,0.000153356,5.35E-05,4.79E-09,6.59E-06,7.69E-10,4
0.220755299,0.019383136,0.000278019,0.000130241,2.47E-08,1.66E-05,1.98E-09,4
0.241566565,0.029440042,4.32E-05,4.83E-05,2.20E-09,8.18E-06,-2.19E-10,4
0.214553964,0.015783034,0.000934785,0.000194925,7.33E-08,1.04E-05,3.94E-08,4
0.208450285,0.011811292,0.001649354,0.000350958,2.32E-07,1.83E-05,1.32E-07,4
0.199792618,0.008251697,0.001622148,0.000373418,2.67E-07,2.35E-05,1.14E-07,4
0.215446686,0.016812472,0.000472514,0.000184084,5.36E-08,1.85E-05,8.52E-09,4
0.218076101,0.017485156,0.000728056,0.000189534,6.60E-08,1.36E-05,2.45E-08,4
0.205264583,0.012319189,0.000883504,0.000275623,1.31E-07,2.28E-05,3.56E-08,4
0.199099331,0.007446716,0.001941938,0.00043306,3.63E-07,2.94E-05,1.60E-07,4
0.19816811,0.007866176,0.00154643,0.000375774,2.67E-07,2.48E-05,1.04E-07,4
0.229344848,0.023450309,0.000331971,0.000162744,3.77E-08,2.40E-05,2.92E-09,4
0.223239308,0.005643883,0.000352551,0.000218608,-3.19E-08,1.63E-05,5.16E-08,0
0.223209673,0.004305133,0.00023117,0.000236627,-5.41E-08,1.50E-05,1.17E-08,0
0.221285152,0.006745786,0.000404891,0.000226347,2.72E-08,1.75E-05,6.29E-08,0
0.230924132,0.010699077,0.001078332,1.37E-05,-1.13E-09,1.37E-06,1.22E-09,0
0.225511052,0.009225663,0.000792085,3.33E-05,-4.05E-09,2.61E-06,-3.57E-09,0
0.226853602,0.009244364,0.00082398,3.60E-05,-5.50E-09,3.06E-06,-2.87E-09,0
0.22748599,0.008896168,0.000791303,5.39E-05,-6.70E-09,3.61E-06,-8.90E-09,0
0.226790333,0.009267312,0.000840062,4.82E-05,3.48E-10,2.13E-06,-9.70E-09,0
0.224490019,0.006688067,0.001048382,2.97E-05,-4.55E-09,2.02E-06,-2.59E-09,0
0.234001169,0.00770294,0.001166025,8.65E-05,-2.35E-08,7.58E-06,1.42E-08,0
0.238652401,0.009087508,0.001462167,5.79E-05,-5.36E-10,4.93E-06,1.68E-08,0
0.240628907,0.010162506,0.001779276,4.09E-05,1.10E-08,3.53E-07,2.79E-10,0
0.241317992,0.010383992,0.001769523,4.70E-05,1.24E-08,-6.88E-07,-5.44E-09,0
0.242092586,0.010826161,0.001969158,6.18E-05,1.25E-08,-2.97E-06,-1.75E-08,0
0.243137286,0.011031336,0.002125982,7.12E-05,1.08E-08,-4.39E-06,-2.55E-08,0
0.243791293,0.012823054,0.00204465,1.57E-05,-2.12E-09,-1.72E-06,-1.83E-09,0
0.244272132,0.011879629,0.002152601,3.60E-06,2.48E-10,-2.53E-07,-1.98E-10,0
0.247859572,0.01210743,0.001760053,9.05E-06,-1.06E-09,9.95E-07,4.36E-10,0
0.257999382,0.016923107,0.001954928,2.36E-06,1.55E-10,-2.30E-07,4.00E-11,0
0.25878861,0.016810354,0.002106267,1.85E-06,1.12E-10,-1.84E-07,2.80E-11,0
0.256065661,0.022984108,0.000323874,0.001035495,4.28E-07,0.000140177,-4.20E-07,2
0.257460337,0.0230238,0.000416658,0.001187308,6.35E-07,0.000159855,-5.42E-07,2
0.25540387,0.022617982,0.000812227,0.00115339,1.04E-06,0.000147617,-3.97E-07,2
0.258294843,0.022707384,0.000471366,0.000632239,-2.79E-07,8.89E-05,-2.03E-07,2
0.264394531,0.025390956,0.000768944,0.00064418,-4.29E-07,9.96E-05,-1.46E-07,2
0.250147929,0.014827295,0.000652491,0.001025597,9.06E-08,0.000112532,8.34E-07,2
0.248728125,0.014422361,0.000824596,0.000947536,2.33E-07,9.87E-05,8.05E-07,2
0.248940124,0.013777753,0.000764264,0.000983476,1.15E-07,0.000101011,8.45E-07,2
0.255189502,0.011786596,0.001162464,0.001368623,-1.04E-06,0.000141157,1.38E-06,2
0.245574779,0.011769367,0.000148932,0.001207326,-4.87E-07,0.000130954,1.57E-07,2
0.245158087,0.01119825,0.000673682,0.000940094,-3.84E-07,9.51E-05,6.42E-07,2
0.25539479,0.014899678,0.001320989,0.001049578,3.70E-08,0.000105682,1.24E-06,2
0.250990932,0.022800346,0.000355476,0.000618211,1.94E-07,8.20E-05,2.16E-07,2
0.260293259,0.022938512,0.000778099,0.000544237,-1.04E-07,6.99E-05,3.39E-07,2
0.255853002,0.017104362,0.001541124,0.000767236,5.56E-08,7.72E-05,8.32E-07,2
0.270070874,0.020712318,0.001005362,0.001326272,-1.52E-06,0.000189021,1.71E-07,2
0.266359765,0.022188151,0.000422389,0.001160103,-7.26E-07,0.000166231,-3.63E-07,2
0.261003086,0.020709096,0.001085817,0.000752183,-4.23E-07,9.75E-05,-5.32E-07,2
0.261269432,0.021357143,0.000959526,0.000716381,-4.50E-07,9.70E-05,-3.88E-07,2
0.265097153,0.022678684,0.000533796,0.000996062,-5.72E-07,0.000142215,-4.47E-07,2
0.199341945,0.005595997,0.002823613,0.000181146,-8.02E-09,-8.48E-06,-1.29E-07,3
0.19505088,0.004685573,0.00240186,0.00013495,-2.57E-08,-7.31E-06,-7.24E-08,3
0.192884136,0.00382816,0.002377159,0.000206827,6.36E-08,-4.47E-08,-1.30E-07,3
0.195051062,0.004148838,0.002651416,0.000231382,7.64E-08,-2.74E-07,-1.64E-07,3
0.194462175,0.003958144,0.002407665,0.000161171,2.99E-08,-4.83E-06,-9.58E-08,3
0.195521065,0.005262992,0.001945,0.000118147,2.48E-08,-4.07E-06,-5.09E-08,3
0.198553374,0.006436272,0.002172616,0.000125669,1.11E-08,-5.72E-06,-6.47E-08,3
0.197589614,0.004710235,0.00285756,0.000174415,5.39E-09,-6.90E-06,-1.23E-07,3
